smiles,sa_score,sc_score
OC(=O)c1c(F)cc(c(c1F)F)N1CCN(c2cc(c(C(=O)O)c(c2F)F)F)CCC1,2.744162276354947,3.624832738103773
OC(=O)c1ccc(cc1Cl)N1OCNN(c2ccc(C(=O)O)cc2)CC1,3.0249274873561784,3.8119042272863832
O=C(O)c1cc(c(c(c1)F)c1c(cc(c2ccc(C(=O)O)cc2)cc1)C)F,2.069286876598936,3.674631018981224
OC(=O)c1ccc(c(c1F)F)NC(=O)N(C(=O)c1ccc(C(=O)O)cc1)N,2.425720192607251,3.1276414820879723
O=C(O)c1ccc(cc1)N1CC(=O)N(c2c(F)cc(C(=O)O)cc2)CC1,2.11430448946366,3.645788228209335
CCCc1c(c(ccc1C(=O)O)c1c(cc(c2c(CCC)cc(C(=O)O)cc2CCC)cc1)Cl)CCC,2.759003279461325,4.516003241972591
Nc1c(c(c(c(c1)C(=O)O)N)N)c1nnc(c2cc(c(c(c2)N)C(=O)O)N)c(=N)o1,3.4132282635074223,4.546593954919592
O=C(O)c1cc(c(c(c1)F)c1cc(c(c2ccc(C(=O)O)cc2)cc1)Cl)F,2.0786386437507023,3.615871702158617
O=C(O)c1ccc(cc1)N1CCNN(c2c(F)cc(C(=O)O)cc2)CC1,2.3792471923087604,3.6673866632061314
Cc1cc(c(C)cc1C(=O)O)C(=O)/N=C(\Nc1cc(c(cc1)C(=O)O)C)/C#N,2.752291852354972,3.4021633486440903
OC(=O)c1ccc(c(c1F)F)NC(=O)/N=C(/c1ccc(C(=O)O)cc1)\C=C,2.707807310626219,3.356452313588308
Cc1c(c(ccc1C(=O)O)C1=N[N]C(=N[C]1C)c1ccc(C(=O)O)cc1)C,3.018902884914945,4.111686641294618
Cc1c(C(=O)O)c(C)c(c(C)c1C(=O)O)c1cc(c(c2c(C)c(c(C)c(c2)C(=O)O)C(=O)O)cc1)C,2.8377954073356424,3.868506829887131
Cc1c(cc(c(c1)c1c(cc(c2ccc(C(=O)O)cc2)cc1)Cl)C)C(=O)O,2.026098103210164,3.721959081386963
OC(=O)c1c(F)cc(c(c1F)F)/N=C(\C#N)/NC(=O)c1cc(c(C(=O)O)c(c1F)F)F,3.36843874633744,3.1331784935563194
O=C(O)c1c(c(c(cc1F)c1cc(c(c2c(F)cc(C(=O)O)cc2F)cc1)F)F)F,2.563370378892037,3.724861793021872
OC(=O)c1c(F)cc(c(c1F)F)N(C(=O)c1ccc(C(=O)O)c(c1)F)CC(=O)O,2.6345408324524,3.494460888445618
Nc1c(C(=O)O)cc(c(c1C(=O)O)N)C1(NN1)CC(=O)Nc1c(N)c(c(N)c(c1)C(=O)O)C(=O)O,3.526811780456276,4.224775522623329
Cc1c(C(=O)O)c(C)c(c(C)c1C(=O)O)c1cc(c(c2c(C)c(cc(c2)C(=O)O)C(=O)O)cc1)C,2.72072259121742,4.0270932242192
Cc1c(C(=O)O)c(C)c(c(C)c1C(=O)O)n1c(=O)cc(c2cc(cc(c2)C(=O)O)C(=O)O)cc1,2.898725707807632,3.61483850524696
OC(=O)c1c(c(c(cc1Cl)N(NC(=O)Nc1c(Cl)cc(C(=O)O)cc1)CO)Cl)Cl,2.917666120322423,3.786426698854632
Nc1c(C(=O)O)cc(C(=O)O)cc1N1CCN(c2cc(c(N)c(c2N)C(=O)O)C(=O)O)CCC1,2.8686174406901337,4.006115354363369
OC(=O)c1ccc(c(c1F)F)NC(=O)N(C(=O)c1c(F)cc(C(=O)O)cc1)N,2.5839582723133905,3.2634562573696937
N#Cc1c(ccc(c1)C(=O)O)c1c(c2cc(c(cc2)C(=O)O)C#N)cnc(n1)Cl,2.689150883059688,4.201858812162222
OC(=O)c1ccc(c(c1Cl)Cl)N1CCN(c2ccc(C(=O)O)cc2Cl)CCN1,2.719114837369956,3.512516194770327
Cc1c(cc(c(c1)NC(=O)C(=O)N(c1ccc(C(=O)O)cc1)Cl)C)C(=O)O,2.50818173106879,3.1258762169162573
Cc1c(c(c(cc1C(=O)O)C(=O)O)C)c1ccc(c2cc(c(C)c(c2C)C(=O)O)C(=O)O)c(c1)Cl,2.7443995142943454,3.8396471363680313
Cc1c(C(=O)O)c(C)c(c(C)c1C(=O)O)C1=CCN(c2cc(cc(c2)C(=O)O)C(=O)O)C(=O)C1,3.067899553961478,3.9773600644129417
O=C(O)c1cc(c(c(c1)F)NN(C=C)C(=O)Nc1ccc(C(=O)O)c(c1F)F)F,3.041339247195551,3.4803461544689624
OC(=O)c1ccc(c(c1F)F)N1CCC(=CC1=O)c1c(F)cc(C(=O)O)cc1,2.6857664515452537,3.878689055130815
OC(=O)c1c(c(c(cc1Cl)c1ccc(c2c(Cl)cc(C(=O)O)cc2)cc1N)Cl)Cl,2.504337702586314,3.762096576459119
Cc1c(C(=O)O)c(C)c(c(C)c1C(=O)O)N(C)CCC(=O)Nc1c(C)c(cc(c1)C(=O)O)C(=O)O,2.810626319763124,3.878263835351098
OC(=O)c1ccc(c(c1F)F)NC(=O)NN(c1c(F)cc(C(=O)O)cc1)CO,2.787839544662664,3.709799988024287
OC(=O)c1cc(c(c(c1F)F)C1=NC(=O)C(=CC1)c1c(cc(C(=O)O)c(c1F)F)F)F,3.2519832533209714,3.471138084716059
Cc1c(C(=O)O)cc(C(=O)O)c(c1N(CC(=O)Nc1cc(cc(c1C)C(=O)O)C(=O)O)CCl)C,2.9242039100548247,4.145555418596033
OC(=O)c1cc(c(c(c1F)F)NC(=N)NC(=N)c1c(F)c(c(C(=O)O)cc1)F)F.Cl,3.317836670100828,3.3598257376890213
