smiles,sa_score,sc_score
Cc1cc(ccc1C(=O)O)N1CCN(c2ccc(C(=O)O)cc2)CCC1,1.9341654220242503,3.7713918337413137
O=C(O)c1c(cc(c(c1)F)N1CCN(c2c(cc(C(=O)O)c(c2)F)F)CCC1)F,2.3832723217159675,3.3311718916948063
O=C(O)c1c(cc(c(c1)F)N(N=O)NC(=O)Nc1c(F)c(c(C(=O)O)cc1)F)F,3.0218395468958503,3.548088859798136
Cc1c(c(cc(c1)c1c(C)cc(c2c(C)cc(c(c2)C)C(=O)O)nc1)C)C(=O)O,2.4819104836514043,3.8509209734114274
O=C(O)c1c(c(c(c(c1)F)c1cc(=O)n(c2ccc(C(=O)O)cc2F)cc1)F)F,2.601660187793416,3.611362550075178
O=C(O)C#C/C=C(/C#CC(=O)O)\N1ONC=N1,4.813651524557414,2.475109199095516
OC(=O)c1cc(c(c(c1F)F)c1ccc(c2c(F)cc(C(=O)O)cc2)c(c1)N)F,2.478250128621818,3.926542528902239
OC(=O)c1cc(c(c(c1F)F)C(=O)N(O)C(=O)Nc1c(F)c(c(C(=O)O)cc1)F)F,2.948182908477836,2.899059421389025
Cc1c(ccc(c1)C(=O)O)C1=N[N]C(=N[C]1Cl)c1c(C)cc(C(=O)O)cc1,3.019400598012658,3.679518693646072
OC(=O)c1cc(c(cc1F)C(=O)NC(Cl)(Nc1c(F)cc(C(=O)O)cc1)Cl)F,2.7396601434152625,3.1014859269605903
O=C(O)c1c(Cl)c(Cl)c(c(Cl)c1Cl)c1cnc(c2cc(c(C(=O)O)cc2Cl)Cl)nc1Cl,2.920345917486074,3.5915386725835616
Cc1cc(c(C)c(c1/N=C(\CCl)/C(=O)Nc1ccc(cc1C)C(=O)O)C)C(=O)O,2.79900997646628,3.735347342606168
CCCc1c(c(cc(c1)C(=O)O)CCC)c1ncc(c2c(CCC)cc(C(=O)O)cc2)cc1F,2.7030864934050136,4.682336180239766
OC(=O)c1cc(c(cc1F)c1c(cc(c2c(cc(C(=O)O)c(c2)F)F)nc1)F)F,2.599403974775665,3.553079439557602
OC(=O)c1ccc(c(c1Cl)Cl)N1CC=C(c2ccc(C(=O)O)cc2)[C]2[C]1C2,3.095273654145714,3.9135282160196345
CCCc1cc(ccc1N1CCN(c2c(CCC)cc(c(c2)CCC)C(=O)O)CCC1)C(=O)O,2.561175262463502,4.696050806041093
Cc1cc(c(C)c(c1NCC(=O)/C(=C\Cl)/c1ccc(cc1C)C(=O)O)C)C(=O)O,2.904407978464281,3.624560346364006
N#Cc1c(C(=O)O)ccc(c1C#N)n1c(=O)cccc1c1ccc(cc1C#N)C(=O)O,2.879304427584298,4.050662648978053
OC(=O)c1cc(c(c(c1F)F)n1c(=O)cc(c2c(F)c(c(C(=O)O)cc2)F)cc1)F,2.7845315327381908,3.650378991091705
O=C(O)c1c(cc(c(c1)F)c1c(nc(c2c(F)c(c(C(=O)O)cc2)F)cc1)Cl)F,2.590892140456136,3.79482055267287
OC(=O)c1cc(c(c(c1F)F)c1ccc(c2c(F)cc(C(=O)O)cc2)cc1Cl)F,2.3793548623496275,3.788418628264935
